id_ligne;id_arret;stop_name;day_type;first_passage;last_passage;avg_passage_per_day;early birds;morning commute;late morning;lunch time;afternoon;evening commute;evening;night;amplitude_horaire;amplitude_horaire_heures;avg_passage_per_hour
0037;2252;Maffeys;weekday;0 days 07:42:00;0 days 18:52:00;10.0;0.0;3.0;0.0;1.0;2.0;4.0;0.0;0.0;0 days 11:10:00;11.166666666666666;0.8955223880597015
0037;2253;Reuzerais;weekday;0 days 07:40:00;0 days 18:51:00;10.0;0.0;3.0;0.0;1.0;2.0;4.0;0.0;0.0;0 days 11:11:00;11.183333333333334;0.8941877794336811
0037;2254;Le Pâtis;weekday;0 days 07:19:52;0 days 19:03:17;10.0;0.0;4.0;0.0;1.0;1.0;4.0;0.0;0.0;0 days 11:43:25;11.723611111111111;0.8529795047980097
0037;2255;Bellevue;weekday;0 days 07:22:00;0 days 19:05:00;10.0;0.0;4.0;0.0;1.0;1.0;4.0;0.0;0.0;0 days 11:43:00;11.716666666666667;0.8534850640113798
0037;2267;Auriol;weekday;0 days 07:34:38;0 days 18:46:18;10.0;0.0;3.0;0.0;1.0;2.0;4.0;0.0;0.0;0 days 11:11:40;11.194444444444445;0.8933002481389578
0037;2268;Auriol;weekday;0 days 07:24:00;0 days 19:07:00;10.0;0.0;4.0;0.0;1.0;1.0;4.0;0.0;0.0;0 days 11:43:00;11.716666666666667;0.8534850640113798
0037;2275;Haie des Cognets;weekday;0 days 07:21:00;0 days 19:04:17;10.0;0.0;4.0;0.0;1.0;1.0;4.0;0.0;0.0;0 days 11:43:17;11.721388888888889;0.8531412185700405
0037;2276;Haie des Cognets;weekday;0 days 07:37:44;0 days 18:49:01;10.0;0.0;3.0;0.0;1.0;2.0;4.0;0.0;0.0;0 days 11:11:17;11.188055555555556;0.8938103632346004
0037;2278;Saint-Jacques - Gaîté;weekday;0 days 07:12:00;0 days 18:57:00;10.0;0.0;4.0;0.0;1.0;1.0;4.0;0.0;0.0;0 days 11:45:00;11.75;0.851063829787234
0037;2283;Saint-Jacques - Gaîté;weekday;0 days 07:47:00;0 days 18:57:00;10.0;0.0;3.0;0.0;1.0;2.0;4.0;0.0;0.0;0 days 11:10:00;11.166666666666666;0.8955223880597015
0038;2059;Monniais;weekday;0 days 07:19:00;0 days 18:22:00;8.5;0.0;4.5;0.0;0.0;0.0;4.0;0.0;0.0;0 days 11:03:00;11.05;0.7692307692307692
0038;2063;Monniais;weekday;0 days 07:21:00;0 days 18:25:00;9.0;0.0;5.0;0.0;0.0;0.0;4.0;0.0;0.0;0 days 11:04:00;11.066666666666666;0.8132530120481928
0038;2107;Ménouriais;weekday;0 days 07:14:00;0 days 18:29:00;16.0;0.0;9.0;0.0;0.0;0.0;7.0;0.0;0.0;0 days 11:15:00;11.25;1.4222222222222223
0038;2128;Ménouriais;weekday;0 days 07:27:00;0 days 07:27:00;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0 days 00:00:00;0.0;inf
0038;2130;Château Monniais;weekday;0 days 07:23:00;0 days 18:20:00;9.0;0.0;5.0;0.0;0.0;0.0;4.0;0.0;0.0;0 days 10:57:00;10.95;0.8219178082191781
0038;2162;Petite Monniais;weekday;0 days 07:15:42;0 days 18:18:00;7.5;0.0;4.5;0.0;0.0;0.0;3.0;0.0;0.0;0 days 11:02:18;11.038333333333334;0.6794504001207912
0038;2163;Petite Monniais;weekday;0 days 07:24:36;0 days 18:28:00;9.0;0.0;5.0;0.0;0.0;0.0;4.0;0.0;0.0;0 days 11:03:24;11.056666666666667;0.8139885438649382
0039;2810;Paul-Emile Victor;weekday;0 days 08:30:00;0 days 19:15:00;22.0;0.0;4.0;3.0;4.0;6.0;5.0;0.0;0.0;0 days 10:45:00;10.75;2.046511627906977
0039;2821;Paul-Emile Victor;weekday;0 days 08:18:00;0 days 19:07:00;22.0;0.0;4.0;4.0;4.0;5.0;5.0;0.0;0.0;0 days 10:49:00;10.816666666666666;2.0338983050847457
0039;2847;Forge;weekday;0 days 08:33:00;0 days 19:18:00;22.0;0.0;4.0;3.0;4.0;6.0;5.0;0.0;0.0;0 days 10:45:00;10.75;2.046511627906977
0039;2848;Forge;weekday;0 days 08:15:00;0 days 19:05:00;22.0;0.0;4.0;4.0;4.0;5.0;5.0;0.0;0.0;0 days 10:50:00;10.833333333333334;2.0307692307692307
0039;2865;Maison Blanche;weekday;0 days 08:10:00;0 days 19:00:00;22.0;0.0;4.0;4.0;4.0;5.0;5.0;0.0;0.0;0 days 10:50:00;10.833333333333334;2.0307692307692307
0039;2866;Maison Blanche;weekday;0 days 08:38:00;0 days 19:22:00;22.0;0.0;3.0;4.0;4.0;6.0;5.0;0.0;0.0;0 days 10:44:00;10.733333333333333;2.049689440993789
0047;2281;Saint-Jacques - Gaîté;weekday;0 days 07:17:00;0 days 19:00:00;15.0;0.0;6.0;0.0;0.0;2.0;7.0;0.0;0.0;0 days 11:43:00;11.716666666666667;1.2802275960170697
0047;2303;Haut Launay;weekday;0 days 06:56:41;0 days 08:37:00;6.0;1.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0 days 01:40:19;1.6719444444444445;3.5886359860441934
0047;2304;Rabine;weekday;0 days 06:58:00;0 days 08:39:00;6.0;1.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0 days 01:41:00;1.6833333333333333;3.5643564356435644
0047;2305;Vert Buisson;weekday;0 days 16:35:59;0 days 19:16:00;9.0;0.0;0.0;0.0;0.0;2.0;7.0;0.0;0.0;0 days 02:40:01;2.6669444444444443;3.3746484741172798
0047;2307;Gavrinis;weekday;0 days 07:02:00;0 days 08:43:00;6.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0 days 01:41:00;1.6833333333333333;3.5643564356435644
0047;2321;Gavrinis;weekday;0 days 16:35:00;0 days 19:15:00;9.0;0.0;0.0;0.0;0.0;2.0;7.0;0.0;0.0;0 days 02:40:00;2.6666666666666665;3.375
0047;2322;Vert Buisson;weekday;0 days 07:00:51;0 days 08:42:00;6.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0 days 01:41:09;1.6858333333333333;3.559070687098369
0047;2323;Rabine;weekday;0 days 16:37:56;0 days 19:18:00;9.0;0.0;0.0;0.0;0.0;2.0;7.0;0.0;0.0;0 days 02:40:04;2.667777777777778;3.3735943356934612
0047;2324;Haut Launay;weekday;0 days 16:39:00;0 days 19:19:00;9.0;0.0;0.0;0.0;0.0;1.0;8.0;0.0;0.0;0 days 02:40:00;2.6666666666666665;3.375
0047;2331;Noë;weekday;0 days 16:41:35;0 days 19:21:00;9.0;0.0;0.0;0.0;0.0;1.0;8.0;0.0;0.0;0 days 02:39:25;2.6569444444444446;3.3873497124934655
0047;2332;Epalet;weekday;0 days 16:43:00;0 days 19:23:00;9.0;0.0;0.0;0.0;0.0;1.0;8.0;0.0;0.0;0 days 02:40:00;2.6666666666666665;3.375
0047;2343;Epalet;weekday;0 days 06:52:56;0 days 08:33:00;6.0;1.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0 days 01:40:04;1.6677777777777778;3.5976015989340437
0047;2344;Noë;weekday;0 days 06:54:00;0 days 08:34:20;6.0;1.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0 days 01:40:20;1.6722222222222223;3.5880398671096345
0047;2348;Victor Hugo;weekday;0 days 16:46:00;0 days 19:25:00;9.0;0.0;0.0;0.0;0.0;1.0;8.0;0.0;0.0;0 days 02:39:00;2.65;3.3962264150943398
0047;2353;Victor Hugo;weekday;0 days 06:51:00;0 days 08:31:00;6.0;1.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0 days 01:40:00;1.6666666666666667;3.5999999999999996
0047;2361;Bruz Centre;weekday;0 days 06:50:00;0 days 19:26:00;15.0;1.0;5.0;0.0;0.0;1.0;8.0;0.0;0.0;0 days 12:36:00;12.6;1.1904761904761905
0047;2374;Châteliers;weekday;0 days 16:40:40;0 days 19:20:09;9.0;0.0;0.0;0.0;0.0;1.0;8.0;0.0;0.0;0 days 02:39:29;2.6580555555555554;3.3859337443829034
0047;2375;Châteliers;weekday;0 days 06:55:00;0 days 08:35:00;6.0;1.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0 days 01:40:00;1.6666666666666667;3.5999999999999996
0047;2376;Corbières;weekday;0 days 07:02:56;0 days 08:44:07;6.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0 days 01:41:11;1.686388888888889;3.5578982045791467
0047;2377;Corbières;weekday;0 days 16:34:00;0 days 19:14:05;9.0;0.0;0.0;0.0;0.0;2.0;7.0;0.0;0.0;0 days 02:40:05;2.6680555555555556;3.3732431025507545
0050;2070;Victoire;weekday;0 days 06:13:44;0 days 21:27:00;40.0;2.0;8.0;4.0;4.0;8.0;10.0;4.0;0.0;0 days 15:13:16;15.221111111111112;2.62792904591576
0050;2070;Victoire;weekend;0 days 07:17:44;0 days 21:28:00;23.5;0.0;5.0;3.0;3.0;6.0;6.0;3.0;0.0;0 days 14:10:16;14.171111111111111;1.6583032774031676
0050;2071;Calendrou;weekday;0 days 06:15:00;0 days 21:28:00;40.0;2.0;8.0;4.0;4.0;7.0;11.0;4.0;0.0;0 days 15:13:00;15.216666666666667;2.628696604600219
0050;2071;Calendrou;weekend;0 days 07:19:00;0 days 21:29:00;23.5;0.0;5.0;3.0;3.0;6.0;6.0;3.0;0.0;0 days 14:10:00;14.166666666666666;1.6588235294117648
0050;2072;Calendrou;weekday;0 days 06:28:00;1 days 01:54:00;39.4;2.0;8.0;4.0;4.0;7.0;10.0;4.0;2.0;0 days 19:26:00;19.433333333333334;2.0274442538593482
0050;2072;Calendrou;weekend;0 days 07:32:00;1 days 01:54:00;24.5;0.0;6.0;3.0;3.0;6.0;5.5;3.0;2.0;0 days 18:22:00;18.366666666666667;1.3339382940108893
0050;2073;Victoire;weekday;0 days 06:29:00;1 days 01:55:12;39.4;2.0;8.0;4.0;4.0;7.0;10.0;4.0;2.0;0 days 19:26:12;19.436666666666667;2.027096552906877
0050;2073;Victoire;weekend;0 days 07:33:00;1 days 01:55:12;24.5;0.0;6.0;3.0;3.0;6.0;5.5;3.0;2.0;0 days 18:22:12;18.37;1.3336962438758846
0050;2114;Château de Vaux;weekday;0 days 06:16:00;0 days 21:30:00;40.0;2.0;8.0;4.0;4.0;7.0;11.0;4.0;0.0;0 days 15:14:00;15.233333333333333;2.6258205689277903
0050;2114;Château de Vaux;weekend;0 days 07:20:39;0 days 21:31:00;23.5;0.0;5.0;3.0;3.0;6.0;6.0;3.0;0.0;0 days 14:10:21;14.1725;1.6581407655671194
0050;2115;Château de Vaux;weekday;0 days 06:26:46;1 days 01:53:00;39.4;2.0;8.0;4.0;4.0;7.0;10.0;4.0;2.0;0 days 19:26:14;19.43722222222222;2.02703861434247
0050;2115;Château de Vaux;weekend;0 days 07:30:46;1 days 01:53:00;24.5;0.0;6.0;3.0;3.0;6.0;5.5;3.0;2.0;0 days 18:22:14;18.370555555555555;1.3336559107267065
0050;2138;Cesson - Viasilva;weekday;0 days 06:18:00;1 days 01:51:00;79.4;4.0;16.0;8.0;8.0;14.0;21.0;8.0;2.0;0 days 19:33:00;19.55;4.061381074168798
0050;2138;Cesson - Viasilva;weekend;0 days 07:23:00;1 days 01:51:00;48.0;0.0;11.0;6.0;6.0;12.0;11.5;6.0;2.0;0 days 18:28:00;18.466666666666665;2.5992779783393503
0050;2152;Touche Lambert;weekday;0 days 06:26:00;1 days 01:52:01;39.4;2.0;8.0;4.0;4.0;7.0;10.0;4.0;2.0;0 days 19:26:01;19.433611111111112;2.0274152742242104
0050;2152;Touche Lambert;weekend;0 days 07:30:00;1 days 01:52:01;24.5;0.0;6.0;3.0;3.0;6.0;5.5;3.0;2.0;0 days 18:22:01;18.366944444444446;1.33391811981065
0050;2153;Touche Lambert;weekday;0 days 06:17:00;0 days 21:31:00;40.0;2.0;8.0;4.0;4.0;7.0;11.0;4.0;0.0;0 days 15:14:00;15.233333333333333;2.6258205689277903
0050;2153;Touche Lambert;weekend;0 days 07:21:44;0 days 21:32:00;23.5;0.0;5.0;3.0;3.0;6.0;6.0;3.0;0.0;0 days 14:10:16;14.171111111111111;1.6583032774031676
0050;3301;Landelles;weekday;0 days 06:00:00;1 days 02:08:00;79.4;4.0;16.0;8.0;8.0;15.0;20.0;7.0;1.4;0 days 20:08:00;20.133333333333333;3.9437086092715234
0050;3301;Landelles;weekend;0 days 07:05:00;1 days 02:08:00;48.0;0.0;11.0;5.5;6.0;11.5;12.0;5.5;2.0;0 days 19:03:00;19.05;2.5196850393700787
