code_geo;taux_motorisation
35275;0.9438736406856452
35196;0.8986760335044582
35204;0.963847408645794
35206;0.9143700741466128
35131;0.9054051037496186
35047;0.8655482038905363
35189;0.9148941592833628
35144;0.9712275798150106
35352;0.928413282550144
35353;0.926669397787792
35315;0.9682804674457428
35240;0.9143192488262912
35039;0.9518704287101748
35278;0.9281384620201312
35351;0.9429665247580272
35208;0.9382993425141352
35245;0.9335114106303009
35079;0.9624542647686988
35055;0.8904767872907376
35022;0.8672192743353723
35076;0.9286156012639376
35088;0.9333046796003318
35120;0.925019170547282
35216;0.9765662741445842
35001;0.930550918196995
35059;0.9424126422538892
35081;0.9723947224543232
35363;0.934508780110932
35139;0.9092036220917794
35266;0.936500040667562
35180;0.9689705762326826
35066;0.9125905599366017
35065;0.9338285280265634
35024;0.9269219404373568
35032;0.9564844842719358
35281;0.8494688883066377
35058;0.9645878192432064
35051;0.8814174180896557
35080;0.955281627307646
35210;0.9309895449088648
35334;0.9445920553995776
35250;0.95768467836822
