route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
6-0073,gen-2840647534,00000027609,Saint-Armel - Corps-Nuds,,0,73-7.4416844,0073-A-1511-4112,1,0
6-0073,gen-1b7619186a,00000027610,Saint-Armel - Corps-Nuds,,0,73-7.4417260,0073-A-1511-4112,1,0
6-0073,prog-00000000027,00000027611,Saint-Armel - Corps-Nuds,,0,73-7.4419996,0073-A-1511-4112,1,0
6-0073,gen-567e7c5e15,00000027612,Saint-Armel - Corps-Nuds,,0,73-7.4418106,0073-A-1511-4112,1,0
6-0073,expl-11_VENDREDI,11_VENDREDI-16438267,Corps-Nuds,,0,7307,0073-A-1511-4112,1,0
6-0073,expl-12_JEUDI,12_JEUDI-16438267,Corps-Nuds,,0,7307,0073-A-1511-4112,1,0
6-0073,expl-12_LUNDI,12_LUNDI-16438267,Corps-Nuds,,0,7307,0073-A-1511-4112,1,0
6-0073,expl-12_MARDI,12_MARDI-16438267,Corps-Nuds,,0,7307,0073-A-1511-4112,1,0
6-0073,expl-12_MERCREDI,12_MERCREDI-16438267,Corps-Nuds,,0,7307,0073-A-1511-4112,1,0
6-0073,expl-12_VENDREDI,12_VENDREDI-16438267,Corps-Nuds,,0,7307,0073-A-1511-4112,1,0
6-0073,gen-480d4b2c2e,00000027877,Saint-Armel - Corps-Nuds,,0,73-1.4419227,0073-A-1511-4112,1,0
6-0073,expl-11_SAMEDI,11_SAMEDI-16441735,Corps-Nuds,,0,7301,0073-A-1511-4112,1,0
6-0073,expl-12_SAMEDI,12_SAMEDI-16441735,Corps-Nuds,,0,7301,0073-A-1511-4112,1,0
6-0073,gen-4a1c0e4b2e,00000027620,Saint-Armel - Corps-Nuds,,0,73-9.4417679,0073-A-1511-4112,1,0
6-0073,gen-6d0d067280,00000027621,Saint-Armel - Corps-Nuds,,0,73-9.4416425,0073-A-1511-4112,1,0
6-0073,prog-00000000021,00000027622,Saint-Armel - Corps-Nuds,,0,73-9.4419578,0073-A-1511-4112,1,0
6-0073,gen-2840647534,00000027623,Saint-Armel - Corps-Nuds,,0,73-9.4416841,0073-A-1511-4112,1,0
6-0073,gen-1b7619186a,00000027624,Saint-Armel - Corps-Nuds,,0,73-9.4417258,0073-A-1511-4112,1,0
6-0073,prog-00000000027,00000027625,Saint-Armel - Corps-Nuds,,0,73-9.4419994,0073-A-1511-4112,1,0
6-0073,gen-567e7c5e15,00000027626,Saint-Armel - Corps-Nuds,,0,73-9.4418103,0073-A-1511-4112,1,0
6-0073,expl-11_VENDREDI,11_VENDREDI-16438269,Corps-Nuds,,0,7309,0073-A-1511-4112,1,0
6-0073,expl-12_JEUDI,12_JEUDI-16438269,Corps-Nuds,,0,7309,0073-A-1511-4112,1,0
6-0073,expl-12_LUNDI,12_LUNDI-16438269,Corps-Nuds,,0,7309,0073-A-1511-4112,1,0
6-0073,expl-12_MARDI,12_MARDI-16438269,Corps-Nuds,,0,7309,0073-A-1511-4112,1,0
6-0073,expl-12_MERCREDI,12_MERCREDI-16438269,Corps-Nuds,,0,7309,0073-A-1511-4112,1,0
6-0073,expl-12_VENDREDI,12_VENDREDI-16438269,Corps-Nuds,,0,7309,0073-A-1511-4112,1,0
6-0073,gen-480d4b2c2e,00000027878,Saint-Armel - Corps-Nuds,,0,75-1.4419218,0073-A-1511-4112,1,0
6-0073,expl-11_SAMEDI,11_SAMEDI-16441736,Corps-Nuds,,0,7501,0073-A-1511-4112,1,0
6-0073,expl-12_SAMEDI,12_SAMEDI-16441736,Corps-Nuds,,0,7501,0073-A-1511-4112,1,0
6-0073,gen-4a1c0e4b2e,00000027774,Saint-Armel - Corps-Nuds,,0,73-5.4417558,0073-A-1511-4112,1,0
6-0073,gen-6d0d067280,00000027775,Saint-Armel - Corps-Nuds,,0,73-5.4416304,0073-A-1511-4112,1,0
6-0073,prog-00000000021,00000027776,Saint-Armel - Corps-Nuds,,0,73-5.4419457,0073-A-1511-4112,1,0
6-0073,gen-2840647534,00000027777,Saint-Armel - Corps-Nuds,,0,73-5.4416720,0073-A-1511-4112,1,0
6-0073,gen-1b7619186a,00000027778,Saint-Armel - Corps-Nuds,,0,73-5.4417137,0073-A-1511-4112,1,0
6-0073,prog-00000000027,00000027779,Saint-Armel - Corps-Nuds,,0,73-5.4419873,0073-A-1511-4112,1,0
6-0073,gen-567e7c5e15,00000027780,Saint-Armel - Corps-Nuds,,0,73-5.4417982,0073-A-1511-4112,1,0
6-0073,expl-11_VENDREDI,11_VENDREDI-16438291,Corps-Nuds,,0,7305,0073-A-1511-4112,1,0
6-0073,expl-12_JEUDI,12_JEUDI-16438291,Corps-Nuds,,0,7305,0073-A-1511-4112,1,0
6-0073,expl-12_LUNDI,12_LUNDI-16438291,Corps-Nuds,,0,7305,0073-A-1511-4112,1,0
6-0073,expl-12_MARDI,12_MARDI-16438291,Corps-Nuds,,0,7305,0073-A-1511-4112,1,0
6-0073,expl-12_MERCREDI,12_MERCREDI-16438291,Corps-Nuds,,0,7305,0073-A-1511-4112,1,0
6-0073,expl-12_VENDREDI,12_VENDREDI-16438291,Corps-Nuds,,0,7305,0073-A-1511-4112,1,0
6-0073,gen-480d4b2c2e,00000027857,Saint-Armel - Corps-Nuds,,0,73-1.4419227,0073-A-1511-4112,1,0
6-0073,expl-11_SAMEDI,11_SAMEDI-16438315,Corps-Nuds,,0,7301,0073-A-1511-4112,1,0
6-0073,expl-12_SAMEDI,12_SAMEDI-16438315,Corps-Nuds,,0,7301,0073-A-1511-4112,1,0
6-0073,gen-4a1c0e4b2e,00000027613,Saint-Armel - Corps-Nuds,,0,73-7.4417682,0073-A-1511-4112,1,0
6-0073,gen-6d0d067280,00000027614,Saint-Armel - Corps-Nuds,,0,73-7.4416428,0073-A-1511-4112,1,0
6-0073,prog-00000000021,00000027615,Saint-Armel - Corps-Nuds,,0,73-7.4419581,0073-A-1511-4112,1,0
6-0073,gen-2840647534,00000027616,Saint-Armel - Corps-Nuds,,0,73-7.4416844,0073-A-1511-4112,1,0
6-0073,gen-1b7619186a,00000027617,Saint-Armel - Corps-Nuds,,0,73-7.4417260,0073-A-1511-4112,1,0
6-0073,prog-00000000027,00000027618,Saint-Armel - Corps-Nuds,,0,73-7.4419996,0073-A-1511-4112,1,0
6-0073,gen-567e7c5e15,00000027619,Saint-Armel - Corps-Nuds,,0,73-7.4418106,0073-A-1511-4112,1,0
6-0073,expl-11_VENDREDI,11_VENDREDI-16438268,Corps-Nuds,,0,7307,0073-A-1511-4112,1,0
6-0073,expl-12_JEUDI,12_JEUDI-16438268,Corps-Nuds,,0,7307,0073-A-1511-4112,1,0
6-0073,expl-12_LUNDI,12_LUNDI-16438268,Corps-Nuds,,0,7307,0073-A-1511-4112,1,0
6-0073,expl-12_MARDI,12_MARDI-16438268,Corps-Nuds,,0,7307,0073-A-1511-4112,1,0
6-0073,expl-12_MERCREDI,12_MERCREDI-16438268,Corps-Nuds,,0,7307,0073-A-1511-4112,1,0
6-0073,expl-12_VENDREDI,12_VENDREDI-16438268,Corps-Nuds,,0,7307,0073-A-1511-4112,1,0
6-0073,gen-4a1c0e4b2e,00000027627,Saint-Armel - Corps-Nuds,,0,73-9.4417679,0073-A-1511-4112,1,0
