date_mesure,geocode_commune,libelle_commune,valeur
2011-01-01T00:00:00.000,62579,Monchy-au-Bois,0.8666666666666684
2011-01-01T00:00:00.000,49219,Montsoreau,0.900830125785123
2022-01-01T00:00:00.000,49308,Saint-Melaine-sur-Aubance,0.9817303174328929
2016-01-01T00:00:00.000,60108,Briot,0.9736842105263158
2022-01-01T00:00:00.000,54159,Dombasle-sur-Meurthe,0.8648591651125664
2022-01-01T00:00:00.000,62374,Gomiécourt,0.90625
2016-01-01T00:00:00.000,02781,Verdilly,0.9437072563910933
2022-01-01T00:00:00.000,57388,Launstroff,0.979381443298969
2016-01-01T00:00:00.000,67089,Dettwiller,0.8818755635707844
2011-01-01T00:00:00.000,14424,Le Mesnil-Robert,0.9178082191780824
2011-01-01T00:00:00.000,35118,Gahard,0.9423459244532804
2016-01-01T00:00:00.000,76723,Vassonville,0.9549247764431558
2022-01-01T00:00:00.000,60304,Haute-Épine,0.9631767932782683
2022-01-01T00:00:00.000,16273,Raix,0.8888888888888904
2011-01-01T00:00:00.000,08386,Saint-Loup-en-Champagne,0.9278350515463918
2011-01-01T00:00:00.000,32340,Réans,0.9375000000000016
2016-01-01T00:00:00.000,47317,Verteuil-d'Agenais,0.9431123194616943
2022-01-01T00:00:00.000,51403,Nogent-l'Abbesse,0.9649122807017544
2022-01-01T00:00:00.000,69085,Fleurieu-sur-Saône,0.9443449440517898
2011-01-01T00:00:00.000,47148,Leyritz-Moncassin,0.8901098901098901
2022-01-01T00:00:00.000,10143,Étourvy,0.9868421052631579
2011-01-01T00:00:00.000,71303,Montagny-près-Louhans,0.9197860962566838
2022-01-01T00:00:00.000,39246,Gendrey,0.9422837459598327
2011-01-01T00:00:00.000,16049,Bonnes,0.855614973262034
2016-01-01T00:00:00.000,59464,Poix-du-Nord,0.8470451911935107
2016-01-01T00:00:00.000,32296,Nogaro,0.8358509566968781
2022-01-01T00:00:00.000,16157,Le Grand-Madieu,0.924999999999999
2011-01-01T00:00:00.000,57619,Saint-Louis-lès-Bitche,0.8739130434782597
2016-01-01T00:00:00.000,02522,Mont-Saint-Jean,0.9
2011-01-01T00:00:00.000,55428,Réville-aux-Bois,0.8979591836734698
2011-01-01T00:00:00.000,80705,Saint-Léger-lès-Authie,0.9736842105263152
2016-01-01T00:00:00.000,27355,Ivry-la-Bataille,0.8892431076492149
2011-01-01T00:00:00.000,39107,Charcier,0.9322033898305095
2022-01-01T00:00:00.000,14311,Grainville-sur-Odon,0.9893951188197369
2022-01-01T00:00:00.000,2A204,Pastricciola,0.9056603773584899
2011-01-01T00:00:00.000,70422,Poyans,0.9333333333333327
2016-01-01T00:00:00.000,14117,Cabourg,0.8034188034188047
2022-01-01T00:00:00.000,37162,Mouzay,0.95
2022-01-01T00:00:00.000,28050,Boncourt,0.9646264780732029
2022-01-01T00:00:00.000,15108,Val d'Arcomie,0.9459884235601334
2022-01-01T00:00:00.000,02037,Aulnois-sous-Laon,0.9248858392251755
2011-01-01T00:00:00.000,27569,Saint-Martin-du-Tilleul,0.9882352941176474
2022-01-01T00:00:00.000,60321,Ivry-le-Temple,0.9643550288919979
2011-01-01T00:00:00.000,83051,Entrecasteaux,0.9190283400809717
2016-01-01T00:00:00.000,52371,Oudincourt,0.84375
2022-01-01T00:00:00.000,76582,Saint-Germain-d'Étables,0.9814684330441183
2011-01-01T00:00:00.000,33062,Bonzac,0.982014388489212
2011-01-01T00:00:00.000,59146,Chéreng,0.9339207048458071
2011-01-01T00:00:00.000,01158,Farges,0.9461077844311381
2011-01-01T00:00:00.000,26374,Villebois-les-Pins,0.8333333333333334
2022-01-01T00:00:00.000,05079,Le Monêtier-les-Bains,0.9433252745153392
2011-01-01T00:00:00.000,01192,Izernore,0.9191583610188261
2022-01-01T00:00:00.000,57644,Seingbouse,0.9335940911387288
2016-01-01T00:00:00.000,12065,Centrès,0.8572255455714016
2011-01-01T00:00:00.000,37050,Chambray-lès-Tours,0.8901362182306211
2016-01-01T00:00:00.000,01418,Thil,0.9664082687338503
2016-01-01T00:00:00.000,01158,Farges,0.9718766672072309
2011-01-01T00:00:00.000,32417,La Sauvetat,0.9565217391304315
2011-01-01T00:00:00.000,62393,Guemps,0.9179894179894186
2011-01-01T00:00:00.000,01451,Viriat,0.9335481272654034
2011-01-01T00:00:00.000,69157,Vindry-sur-Turdine,0.9272026396010561
2022-01-01T00:00:00.000,17108,Clam,0.9581902100092683
2022-01-01T00:00:00.000,69167,Rivolet,0.9623430962343096
2016-01-01T00:00:00.000,58290,Thaix,0.9130434782608695
2011-01-01T00:00:00.000,25074,Bonnétage,0.9362416107382551
2016-01-01T00:00:00.000,48126,Lachamp-Ribennes,0.938569910668608
