Identifiant;Date de début de version;Date de fin de version;Est la version active;Code;Nom;Commune (code INSEE);Commune (nom);Coordonnées;Accessible aux PMR;Mobilier;Visibilité;Stopid gtfs/gtfs-rt
1262;2024-10-14;;Oui;1262;Les Prairies;35238;Rennes;48.121414, -1.67105;true;Abri simple;Grand public;6-1262
1159;2025-09-01;;Oui;1159;Hôtel de Région;35238;Rennes;48.134366, -1.658777;true;Abri simple;Grand public;6-1159
1275;2016-08-29;;Oui;1275;Mermoz;35238;Rennes;48.097441, -1.68857;true;Abri simple;Grand public;6-1275
1163;2025-01-02;;Oui;1163;Robidou;35238;Rennes;48.110159, -1.66054;true;Abri double;Grand public;6-1163
1283;2022-10-24;;Oui;1283;Rochester;35238;Rennes;48.128857, -1.663748;true;Abri simple;Grand public;6-1283
1164;2025-01-02;;Oui;1164;Pont de Châteaudun;35238;Rennes;48.110129, -1.663976;true;Abri double;Grand public;6-1164
1287;2023-08-01;;Oui;1287;Condate;35238;Rennes;48.135026, -1.672788;true;Abri simple;Grand public;6-1287
1168;2022-10-24;;Oui;1168;République;35238;Rennes;48.109765, -1.678746;true;Abri double;Grand public;6-1168
1298;2022-10-24;;Oui;1298;Bois Labbé;35238;Rennes;48.125714, -1.703029;true;Abri simple;Grand public;6-1298
1169;2022-10-24;;Oui;1169;Musée Beaux Arts;35238;Rennes;48.109851, -1.673142;true;Abri auvent;Grand public;6-1169
1306;2002-01-01;;Oui;1306;Bois Labbé;35238;Rennes;48.12523, -1.703183;true;Abri simple;Grand public;6-1306
1172;2024-02-12;;Oui;1172;Robidou;35238;Rennes;48.110034, -1.659193;true;Abri simple;Grand public;6-1172
1313;2024-07-08;;Oui;1313;Beaulieu - Université;35238;Rennes;48.12219, -1.638325;true;Poteau;Grand public;6-1313
1176;2022-10-24;;Oui;1176;Beaulieu INSA;35238;Rennes;48.118994, -1.635179;true;Abri double;Grand public;6-1176
1317;2023-09-04;;Oui;1317;Villebois-Mareuil;35238;Rennes;48.10009, -1.649358;true;Abri double;Grand public;6-1317
1181;2022-10-24;;Oui;1181;Musset Cité U;35238;Rennes;48.116152, -1.662539;true;Abri simple;Grand public;6-1181
1321;2025-09-01;;Oui;1321;Sauvaie;35238;Rennes;48.093804, -1.633845;true;Abri simple;Grand public;6-1321
1182;2022-10-24;;Oui;1182;George Sand;35238;Rennes;48.116294, -1.664774;true;Abri auvent;Grand public;6-1182
1331;2015-08-31;;Oui;1331;Square de la Rance;35238;Rennes;48.118027, -1.680793;true;Abri simple;Grand public;6-1331
1185;2022-10-24;;Oui;1185;Legraverend;35238;Rennes;48.117782, -1.684984;true;Poteau;Grand public;6-1185
1333;2025-01-01;;Oui;1333;Jacques Cartier;35238;Rennes;48.097913, -1.67519;true;Abri simple;Grand public;6-1333
1200;2022-10-24;;Oui;1200;Jeanne d'Arc;35238;Rennes;48.116812, -1.656347;true;Abri simple;Grand public;6-1200
1334;2015-08-31;;Oui;1334;Châtillon;35238;Rennes;48.097721, -1.67127;true;Abri simple;Grand public;6-1334
1216;2022-10-24;;Oui;1216;Le Mail;35238;Rennes;48.109226, -1.690184;true;Abri auvent;Grand public;6-1216
1335;2015-08-31;;Oui;1335;Ormeaux;35238;Rennes;48.097715, -1.668373;true;Abri simple;Grand public;6-1335
1217;2022-10-24;;Oui;1217;Chèques Postaux;35238;Rennes;48.108292, -1.694376;true;Abri double;Grand public;6-1217
1343;2023-09-04;;Oui;1343;La Poterie;35238;Rennes;48.087638, -1.645994;true;Abri simple;Grand public;6-1343
1236;2002-01-01;;Oui;1236;Kerviler;35238;Rennes;48.108773, -1.705576;true;Abri simple;Grand public;6-1236
1346;2017-02-09;;Oui;1346;Hôpital Sud;35238;Rennes;48.084718, -1.655241;true;Abri simple;Grand public;6-1346
1237;2002-01-01;;Oui;1237;Papeteries;35238;Rennes;48.107739, -1.702454;true;Abri auvent;Grand public;6-1237
1347;2016-08-29;;Oui;1347;Torigné;35238;Rennes;48.084765, -1.657955;true;Abri simple;Grand public;6-1347
1248;2023-09-04;;Oui;1248;Pré Garel;35238;Rennes;48.103906, -1.635791;true;Abri simple;Grand public;6-1248
1254;2022-10-24;;Oui;1254;Neruda;35238;Rennes;48.136789, -1.671108;true;Abri simple;Grand public;6-1254
1360;2022-10-24;;Oui;1360;Gide;35238;Rennes;48.092536, -1.658316;true;Abri simple;Grand public;6-1360
1258;2022-10-24;;Oui;1258;Houx Cité U;35238;Rennes;48.130786, -1.663923;true;Abri simple;Grand public;6-1258
1365;2015-08-31;;Oui;1365;Ormeaux;35238;Rennes;48.097759, -1.669245;true;Poteau;Grand public;6-1365
1260;2022-10-24;;Oui;1260;Gros-Chêne;35238;Rennes;48.125601, -1.666254;true;Abri simple;Grand public;6-1260
1369;2022-10-24;;Oui;1369;Auberge de Jeunesse;35238;Rennes;48.120276, -1.681048;true;Abri simple;Grand public;6-1369
1263;2022-10-24;;Oui;1263;Rectorat;35238;Rennes;48.119613, -1.674333;true;Abri simple;Grand public;6-1263
1371;2024-09-02;;Oui;1371;Lycée Mendès France;35238;Rennes;48.133316, -1.685114;true;Abri simple;Grand public;6-1371
1265;2023-01-03;;Oui;1265;Foyer Rennais;35238;Rennes;48.099742, -1.687204;true;Abri simple;Grand public;6-1265
1383;2024-07-08;;Oui;1383;Dargent;35238;Rennes;48.103601, -1.700025;true;Abri simple;Grand public;6-1383
1273;2023-01-03;;Oui;1273;Saint-Yves;35238;Rennes;48.092754, -1.691197;true;Abri simple;Grand public;6-1273
1390;2024-07-08;;Oui;1390;Porte de Cleunay;35238;Rennes;48.104169, -1.713423;true;Abri simple;Grand public;6-1390
1274;2016-08-29;;Oui;1274;Pilate;35238;Rennes;48.095058, -1.689979;true;Abri simple;Grand public;6-1274
1391;2024-07-08;;Oui;1391;Clinique La Sagesse;35238;Rennes;48.101045, -1.7118;true;Abri simple;Grand public;6-1391
1276;2025-07-07;;Oui;1276;Foyer Rennais;35238;Rennes;48.099752, -1.686176;true;Abri double;Grand public;6-1276
